fnames,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19
NCOA7,4233.8773,8581.7565,2566.5257,3550.0771,1361.0263,1296.6443,3934.2168,1948.3361,4548.1425,2928.7686,3397.5272,5684.0738,3523.7496,2450.4702,2498.3051,2959.0211,2040.1773,10327.9544,3196.1672,3359.063
NCOR1,1570.4686,2516.0918,1465.6387,1660.0529,2588.8821,1234.5638,1428.7083,817.9361,2475.3601,664.1634,1201.1989999999998,1281.0876,775.8715,1054.1936,2118.3359,2025.6118,2283.5751,1894.1623,1897.2125,1819.5084
NCOR2,4967.2746,6330.3131,4140.9268,6670.8425,10824.6793,5131.5436,6121.6669,4655.5515,6491.2813,3810.0497,4431.6223,4488.0028,2564.6863,3522.9726,7178.1202,5353.4434,7082.2618,8324.1576,7227.1777,7973.1183
NCR1,0.0,0.6439,4.3107,0.7179,0.6109,2.349,0.0,8.0532,2.2745,0.6626,0.3747,1.4595,4.8492,6.7453,2.4653,3.9841,3.3212,6.6445,2.7875,2.3041
NCR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0738,0.7582,0.0,0.3747,0.0,0.0,0.9636,0.3082,0.5692,0.0,0.0,0.0,0.0
NCR3,8.3777,3.8635,3.6475,19.1443,2.4435,43.9597,4.4707,10.7376,9.0978,8.8349,28.1004,22.9873,41.4876,40.4718,15.4083,140.0114,18.0295,22.7812,8.0139,6.5284
NCRNA00028,0.0,0.0,0.6632,0.2393,0.0,0.0,0.6387,0.0,0.0,0.4417,1.124,0.0,3.2328,0.0,1.2327,0.0,0.0,0.0,0.0,0.0
NCRNA00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCRNA00032,0.0,0.6439,0.0,0.0,0.6109,0.3356,0.6387,0.0,0.0,0.0,1.8734,0.0,0.5388,0.0,0.3082,0.5692,0.0,0.0,0.3484,0.0
NCRNA00051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
